total_rooms,total_bedrooms
6.0,2.0
8.0,1.0
11.0,11.0
12.0,4.0
15.0,4.0
16.0,4.0
18.0,3.0
19.0,12.0
20.0,5.0
21.0,7.0
22.0,9.0
24.0,6.0
25.0,5.0
26.0,14.0
32.0,8.0
36.0,9.0
37.0,11.0
40.0,10.0
41.0,17.5
42.0,12.0
44.0,6.0
45.0,11.0
47.0,16.0
48.0,10.0
49.0,14.0
50.0,9.0
52.0,14.5
54.0,9.0
55.0,14.5
57.0,22.0
58.0,35.0
59.0,24.0
60.0,11.5
62.0,9.0
63.0,10.5
64.0,21.0
66.0,11.0
67.0,15.0
69.0,22.0
70.0,22.5
72.0,16.0
74.0,19.0
77.0,12.0
78.0,11.0
80.0,16.0
81.0,33.5
83.0,15.0
84.0,13.0
88.0,21.0
89.0,18.0
90.0,26.5
94.0,24.0
96.0,18.0
97.0,22.0
98.0,26.0
99.0,25.0
100.0,20.0
101.0,23.0
102.0,19.0
104.0,20.0
105.0,31.0
106.0,18.0
107.0,61.5
108.0,18.0
109.0,20.0
110.0,26.0
112.0,28.0
114.0,26.0
116.0,30.0
117.0,33.0
118.0,25.5
120.0,24.0
121.0,29.0
122.0,26.0
123.0,36.0
124.0,22.0
125.0,42.0
127.0,25.5
131.0,28.0
133.0,29.0
135.0,29.0
136.0,20.0
140.0,31.5
141.0,59.0
142.0,39.0
143.0,38.5
144.0,54.0
146.0,36.0
148.0,28.0
151.0,83.0
152.0,24.5
154.0,33.0
156.0,42.0
157.0,28.0
161.0,40.0
162.0,27.0
164.0,30.0
166.0,22.0
167.0,60.0
170.0,23.0
172.0,40.0
173.0,38.5
174.0,66.0
176.0,43.0
177.0,59.0
178.0,46.5
180.0,43.0
182.0,43.5
184.0,44.0
186.0,45.5
187.0,38.0
189.0,30.0
191.0,47.0
192.0,41.0
196.0,57.5
197.0,44.0
198.0,36.5
199.0,36.0
200.0,48.5
201.0,44.0
202.0,54.0
204.0,62.0
205.0,119.0
206.0,44.0
208.0,49.0
211.0,51.0
212.0,38.0
215.0,53.5
217.0,82.0
221.0,52.0
222.0,54.0
223.0,80.0
224.0,38.0
225.0,72.0
226.0,44.0
227.0,45.0
228.0,40.0
231.0,36.0
232.0,37.0
238.0,54.5
239.0,92.0
240.0,36.5
241.0,69.0
242.0,59.0
243.0,55.0
244.0,52.0
247.0,67.5
248.0,55.0
249.0,44.0
250.0,52.0
253.0,50.0
254.0,50.0
255.0,73.0
256.0,34.0
259.0,53.0
260.0,67.0
264.0,72.0
265.0,53.0
266.0,68.5
267.0,57.0
268.0,76.5
271.0,61.0
272.0,49.0
273.0,49.0
275.0,105.0
277.0,79.5
278.0,81.0
281.0,103.0
282.0,59.0
284.0,53.0
287.0,57.0
288.0,86.0
289.0,49.0
291.0,48.0
292.0,47.0
294.0,58.0
296.0,139.0
299.0,89.0
301.0,94.0
302.0,112.0
303.0,73.5
304.0,63.0
309.0,47.0
311.0,95.0
312.0,89.0
314.0,61.0
319.0,94.0
320.0,73.0
321.0,71.0
322.0,85.0
324.0,63.0
325.0,74.0
326.0,123.0
328.0,100.0
329.0,90.5
330.0,74.0
331.0,85.0
332.0,86.5
333.0,92.0
334.0,55.0
335.0,86.0
336.0,120.5
337.0,67.0
340.0,97.0
343.0,67.5
344.0,108.0
346.0,103.0
347.0,82.0
348.0,79.0
349.0,74.0
350.0,95.0
351.0,81.0
352.0,63.5
353.0,112.0
354.0,73.0
357.0,120.0
360.0,110.0
361.0,63.0
362.0,89.0
365.0,102.0
366.0,62.0
367.0,113.0
369.0,107.0
370.0,62.0
371.0,72.5
372.0,68.0
375.0,108.0
376.0,83.0
377.0,69.0
378.0,134.0
380.0,91.0
381.0,67.0
383.0,93.0
385.0,98.0
386.0,164.0
388.0,95.5
390.0,199.0
391.0,74.0
393.0,67.0
394.0,105.5
395.0,72.0
396.0,91.0
397.0,110.5
399.0,114.0
402.0,134.5
403.0,72.0
404.0,77.0
405.0,124.5
407.0,102.5
408.0,92.0
409.0,100.5
410.0,117.0
411.0,94.0
413.0,107.0
414.0,79.0
416.0,115.5
417.0,89.0
418.0,147.5
419.0,77.0
421.0,82.5
422.0,63.0
423.0,110.0
424.0,78.0
425.0,119.0
426.0,61.0
427.0,92.0
430.0,107.0
431.0,86.0
432.0,142.0
433.0,69.0
435.0,95.5
436.0,75.5
437.0,105.0
438.0,109.5
439.0,84.0
440.0,106.0
441.0,136.5
442.0,103.0
443.0,117.0
444.0,83.0
446.0,90.5
447.0,95.0
448.0,116.0
449.0,151.0
450.0,132.0
452.0,109.0
453.0,117.0
454.0,102.0
455.0,81.0
456.0,130.0
458.0,148.0
459.0,103.5
460.0,171.0
461.0,115.0
462.0,90.0
463.0,180.0
464.0,202.0
465.0,93.0
467.0,
470.0,110.0
471.0,108.0
472.0,146.0
473.0,
474.0,92.0
475.0,155.0
476.0,84.5
477.0,119.0
479.0,125.0
481.0,136.0
483.0,113.0
484.0,202.0
488.0,108.0
489.0,90.0
491.0,98.0
492.0,269.0
493.0,168.0
494.0,100.0
495.0,116.0
496.0,131.0
497.0,132.0
498.0,117.5
499.0,137.5
500.0,113.0
501.0,123.0
502.0,88.0
503.0,99.0
504.0,126.0
505.0,124.0
506.0,107.5
507.0,140.0
508.0,104.0
509.0,115.0
510.0,86.0
511.0,153.0
512.0,144.0
513.0,100.0
514.0,210.0
515.0,201.0
516.0,98.5
518.0,108.0
519.0,102.0
520.0,187.5
521.0,118.5
522.0,138.0
523.0,80.0
524.0,93.0
525.0,136.0
526.0,152.0
527.0,133.0
529.0,112.0
530.0,150.0
531.0,154.0
533.0,90.0
534.0,88.0
535.0,123.0
538.0,107.0
539.0,71.0
540.0,110.0
541.0,154.0
542.0,119.0
543.0,191.0
544.0,110.0
548.0,119.0
549.0,126.0
552.0,151.0
553.0,100.0
555.0,162.0
556.0,71.0
557.0,159.0
559.0,139.0
560.0,90.0
561.0,182.5
562.0,169.0
563.0,164.5
564.0,212.5
565.0,162.0
567.0,172.5
568.0,118.0
569.0,132.0
570.0,112.0
571.0,153.0
572.0,131.5
574.0,103.0
575.0,90.0
576.0,117.0
579.0,116.0
580.0,143.0
581.0,146.0
582.0,100.5
583.0,113.5
584.0,176.0
586.0,125.0
587.0,170.0
588.0,139.0
589.0,124.5
590.0,134.0
591.0,173.0
592.0,121.5
593.0,136.5
594.0,169.0
596.0,110.0
598.0,148.0
600.0,171.0
602.0,142.5
603.0,207.0
606.0,132.0
607.0,155.0
608.0,125.5
609.0,192.5
610.0,145.0
612.0,135.0
613.0,149.0
614.0,141.0
616.0,131.0
617.0,112.0
618.0,163.0
619.0,160.0
620.0,133.0
621.0,142.5
622.0,194.0
623.0,146.0
624.0,182.5
626.0,164.0
627.0,136.0
629.0,140.0
630.0,145.0
631.0,298.0
632.0,148.0
633.0,142.5
636.0,169.0
637.0,273.0
638.0,266.0
639.0,179.0
640.0,166.0
642.0,176.0
643.0,117.0
644.0,129.0
645.0,127.5
646.0,134.0
647.0,139.0
651.0,204.5
653.0,148.0
654.0,186.0
656.0,157.5
657.0,118.0
658.0,218.0
659.0,291.0
660.0,137.0
661.0,146.0
662.0,160.0
663.0,127.0
665.0,171.0
666.0,147.0
667.0,92.0
670.0,221.0
671.0,166.0
672.0,149.0
673.0,159.0
674.0,208.0
676.0,216.0
677.0,182.0
678.0,155.0
679.0,132.0
680.0,145.5
681.0,123.5
682.0,152.0
683.0,139.0
684.0,176.0
685.0,141.0
686.0,142.0
689.0,135.5
690.0,119.0
691.0,153.0
692.0,146.0
693.0,207.0
694.0,188.0
695.0,145.0
696.0,219.5
697.0,208.0
698.0,174.0
699.0,180.0
700.0,212.0
701.0,156.5
702.0,185.5
703.0,122.0
704.0,176.0
705.0,149.0
706.0,189.5
707.0,154.0
708.0,173.5
709.0,190.0
710.0,188.0
711.0,148.0
712.0,143.5
713.0,202.0
714.0,131.0
715.0,214.0
716.0,168.5
718.0,132.0
719.0,238.0
720.0,174.0
721.0,165.0
722.0,235.0
724.0,167.0
725.0,186.5
726.0,166.0
727.0,168.0
728.0,147.5
729.0,132.5
730.0,196.0
731.0,155.0
732.0,147.0
733.0,166.5
734.0,190.0
735.0,139.0
736.0,166.0
737.0,143.0
740.0,171.0
741.0,180.5
742.0,146.5
743.0,155.0
744.0,148.5
745.0,168.0
746.0,172.0
747.0,189.0
